Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:47:12.294,eb:33:2e:f9:57:b5, 2085-97-10 00:83:00:2037,0.007,0.041,0.994,-0.122,0.183,0.122,2.318,-0.423,-139.07,-49.2,-55.8,-21.307,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.294,eb:33:2e:f9:57:b5, 2085-97-15 00:80:00:2039,0.009,0.039,0.995,-0.061,0,0.122,2.318,-0.423,-139.07,-49.2,-55.8,-21.307,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.294,eb:33:2e:f9:57:b5, 2085-97-18 00:86:00:2043,0.004,0.041,0.997,0,0,0.244,2.318,-0.423,-139.07,-49.2,-55.8,-21.307,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.294,eb:33:2e:f9:57:b5, 2085-97-10 00:84:00:2036,0.004,0.042,0.994,-0.122,0.061,0.183,2.318,-0.423,-139.07,-49.2,-55.8,-21.307,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.324,eb:33:2e:f9:57:b5, 2085-97-11 00:83:00:2036,0.005,0.041,0.995,-0.122,0,0.122,2.318,-0.423,-139.07,-49.2,-55.8,-21.307,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.324,eb:33:2e:f9:57:b5, 2085-97-03 00:86:00:2032,0.002,0.041,0.995,-0.122,0,0.122,2.318,-0.423,-139.07,-49.2,-55.8,-21.307,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.324,eb:33:2e:f9:57:b5, 2085-97-25 00:82:00:2045,0.007,0.041,0.993,-0.427,-0.183,0.488,2.318,-0.423,-139.065,-49.2,-55.8,-21.307,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.325,eb:33:2e:f9:57:b5, 2085-97-06 00:82:00:2034,0.005,0.041,0.996,-0.427,-0.061,0.549,2.318,-0.423,-139.065,-49.2,-55.8,-21.307,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.353,eb:33:2e:f9:57:b5, 2085-97-20 00:79:00:2046,0.01,0.039,0.996,-0.366,-0.244,0.305,2.318,-0.423,-139.065,-49.4,-57.2,-20.753,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.353,eb:33:2e:f9:57:b5, 2085-97-12 00:81:00:2043,0.005,0.039,1,-0.244,0,0.305,2.318,-0.423,-139.065,-49.4,-57.2,-20.753,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.353,eb:33:2e:f9:57:b5, 2085-97-11 00:79:00:2041,0.009,0.039,0.997,-0.122,-0.122,0.183,2.318,-0.423,-139.059,-49.4,-57.2,-20.753,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.353,eb:33:2e:f9:57:b5, 2085-97-14 00:82:00:2038,0.004,0.038,0.998,-0.061,-0.061,0.244,2.318,-0.423,-139.059,-49.4,-57.2,-20.753,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.414,eb:33:2e:f9:57:b5, 2085-97-10 00:84:00:2037,0.005,0.042,0.994,-0.122,-0.244,0.366,2.318,-0.423,-139.059,-49.4,-57.2,-20.753,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.414,eb:33:2e:f9:57:b5, 2085-97-06 00:83:00:2032,0.002,0.039,0.994,-0.061,-0.183,0.366,2.318,-0.423,-139.059,-49.4,-57.2,-20.753,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.414,eb:33:2e:f9:57:b5, 2085-97-09 00:83:00:2032,0.005,0.042,0.991,-0.183,-0.427,0.366,2.318,-0.423,-139.054,-49.4,-57.2,-20.753,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.414,eb:33:2e:f9:57:b5, 2085-97-13 00:82:00:2038,0.007,0.04,0.993,-0.244,-0.549,0.427,2.318,-0.423,-139.054,-49.4,-57.2,-20.753,30.2,0.34943,0.00357,-0.02026,-0.93668
 13:47:12.443,eb:33:2e:f9:57:b5, 2085-97-17 00:81:00:2045,0.006,0.041,0.998,-0.305,-0.549,0.427,2.318,-0.423,-139.054,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.444,eb:33:2e:f9:57:b5, 2085-97-11 00:82:00:2039,0.006,0.039,0.997,-0.244,-0.366,0.427,2.318,-0.423,-139.054,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.444,eb:33:2e:f9:57:b5, 2085-97-17 00:78:00:2041,0.009,0.039,0.996,-0.244,-0.366,0.488,2.318,-0.423,-139.054,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.444,eb:33:2e:f9:57:b5, 2085-97-21 00:82:00:2044,0.01,0.038,0.997,-0.122,-0.427,0.427,2.318,-0.423,-139.054,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.473,eb:33:2e:f9:57:b5, 2085-97-16 00:79:00:2039,0.005,0.04,0.998,-0.183,-0.244,0.305,2.318,-0.423,-139.048,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.473,eb:33:2e:f9:57:b5, 2085-97-16 00:83:00:2038,0.006,0.041,0.994,-0.183,-0.183,0.305,2.318,-0.423,-139.048,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.473,eb:33:2e:f9:57:b5, 2085-97-14 00:83:00:2036,0.006,0.04,0.994,-0.183,-0.122,0.183,2.318,-0.423,-139.048,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.473,eb:33:2e:f9:57:b5, 2085-97-11 00:81:00:2037,0.004,0.04,0.994,-0.183,-0.183,0.122,2.318,-0.423,-139.048,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.533,eb:33:2e:f9:57:b5, 2085-97-09 00:81:00:2033,0.007,0.04,0.992,-0.183,-0.366,0.244,2.318,-0.423,-139.043,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.533,eb:33:2e:f9:57:b5, 2085-97-13 00:83:00:2038,0.008,0.04,0.992,-0.183,-0.427,0.366,2.318,-0.423,-139.043,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.533,eb:33:2e:f9:57:b5, 2085-97-16 00:80:00:2040,0.009,0.042,0.995,-0.305,-0.549,0.183,2.318,-0.423,-139.043,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.534,eb:33:2e:f9:57:b5, 2085-97-21 00:80:00:2045,0.01,0.04,0.997,-0.305,-0.488,0.183,2.318,-0.423,-139.043,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.563,eb:33:2e:f9:57:b5, 2085-97-20 00:77:00:2046,0.008,0.038,1,-0.244,-0.427,0.183,2.318,-0.423,-139.037,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.563,eb:33:2e:f9:57:b5, 2085-97-14 00:81:00:2038,0.006,0.039,0.997,-0.122,-0.305,0.122,2.318,-0.423,-139.037,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.563,eb:33:2e:f9:57:b5, 2085-97-15 00:77:00:2040,0.008,0.039,0.995,-0.061,-0.305,0.122,2.318,-0.423,-139.037,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.563,eb:33:2e:f9:57:b5, 2085-97-16 00:82:00:2042,0.006,0.039,0.997,0,-0.244,0.061,2.318,-0.423,-139.037,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.624,eb:33:2e:f9:57:b5, 2085-97-14 00:82:00:2040,0.006,0.04,0.996,-0.061,-0.183,0.122,2.318,-0.423,-139.037,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.624,eb:33:2e:f9:57:b5, 2085-97-13 00:82:00:2036,0.004,0.039,0.995,-0.122,-0.183,0.183,2.318,-0.423,-139.037,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.624,eb:33:2e:f9:57:b5, 2085-97-07 00:82:00:2030,0.002,0.041,0.993,-0.244,-0.183,0.244,2.318,-0.423,-139.032,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.624,eb:33:2e:f9:57:b5, 2085-97-09 00:83:00:2027,0.005,0.042,0.991,-0.427,-0.549,0.244,2.318,-0.423,-139.032,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.624,eb:33:2e:f9:57:b5, 2085-97-11 00:77:00:2034,0.012,0.039,0.993,-0.366,-0.916,0.122,2.318,-0.423,-139.032,-49.4,-57.2,-20.753,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.654,eb:33:2e:f9:57:b5, 2085-113-58 00:134:227:-8115,0.01,0.039,0.999,-0.244,-0.977,0.244,2.318,-0.423,-139.032,-48.6,-54.1,-18.04,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.654,eb:33:2e:f9:57:b5, 2085-97-21 00:78:00:2046,0.01,0.037,0.999,-0.183,-0.916,0.366,2.318,-0.423,-139.032,-48.6,-54.1,-18.04,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.654,eb:33:2e:f9:57:b5, 2085-97-18 00:75:00:2044,0.01,0.038,0.999,-0.122,-0.793,0.305,2.318,-0.423,-139.026,-48.6,-54.1,-18.04,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.654,eb:33:2e:f9:57:b5, 2085-97-20 00:78:00:2044,0.009,0.037,0.999,-0.061,-0.793,0.305,2.318,-0.423,-139.026,-48.6,-54.1,-18.04,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.683,eb:33:2e:f9:57:b5, 2085-97-17 00:76:00:2042,0.013,0.038,0.997,0,-0.61,0.305,2.318,-0.423,-139.026,-48.6,-54.1,-18.04,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.683,eb:33:2e:f9:57:b5, 2085-97-25 00:78:00:2045,0.009,0.037,1,0.183,-0.427,0.244,2.318,-0.423,-139.026,-48.6,-54.1,-18.04,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.683,eb:33:2e:f9:57:b5, 2085-97-12 00:84:00:2033,0.008,0.04,0.995,0.183,-0.305,0.183,2.318,-0.423,-139.026,-48.6,-54.1,-18.04,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.683,eb:33:2e:f9:57:b5, 2085-97-21 00:83:00:2038,0.012,0.04,0.993,0.183,-0.305,0,2.318,-0.423,-139.026,-48.6,-54.1,-18.04,30.2,0.34967,0.0036,-0.02026,-0.93658
 13:47:12.744,eb:33:2e:f9:57:b5, 2085-97-26 00:85:00:2049,0.01,0.041,0.999,0.122,-0.061,-0.122,2.318,-0.423,-139.021,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.744,eb:33:2e:f9:57:b5, 2085-97-19 00:79:00:2042,0.01,0.04,0.999,0.122,0.244,-0.122,2.313,-0.423,-139.021,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.744,eb:33:2e:f9:57:b5, 2085-97-25 00:79:00:2049,0.012,0.038,0.998,0.183,0.366,-0.305,2.313,-0.423,-139.021,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.744,eb:33:2e:f9:57:b5, 2085-97-21 00:80:00:2046,0.009,0.039,1.001,0.305,0.549,-0.366,2.313,-0.423,-139.021,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.803,eb:33:2e:f9:57:b5, 2085-97-15 00:80:00:2039,0.009,0.039,0.998,0.366,0.61,-0.305,2.313,-0.423,-139.021,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.803,eb:33:2e:f9:57:b5, 2085-97-19 00:80:00:2043,0.009,0.039,0.997,0.488,0.549,-0.366,2.313,-0.423,-139.021,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.803,eb:33:2e:f9:57:b5, 2085-97-15 00:82:00:2039,0.007,0.039,0.997,0.488,0.549,-0.183,2.313,-0.423,-139.016,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.803,eb:33:2e:f9:57:b5, 2085-97-12 00:80:00:2034,0.007,0.039,0.995,0.427,0.549,-0.244,2.313,-0.423,-139.016,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.834,eb:33:2e:f9:57:b5, 2085-97-15 00:79:00:2037,0.011,0.039,0.995,0.427,0.488,-0.244,2.313,-0.423,-139.016,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.834,eb:33:2e:f9:57:b5, 2085-97-14 00:83:00:2036,0.007,0.04,0.997,0.488,0.488,-0.244,2.313,-0.428,-139.016,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.834,eb:33:2e:f9:57:b5, 2085-97-12 00:84:00:2034,0.006,0.042,0.995,0.366,0.488,-0.244,2.313,-0.428,-139.01,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.834,eb:33:2e:f9:57:b5, 2085-97-10 00:83:00:2033,0.005,0.04,0.994,0.366,0.427,-0.305,2.313,-0.428,-139.01,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.863,eb:33:2e:f9:57:b5, 2085-97-17 00:85:00:2037,0.008,0.041,0.994,0.244,0.366,-0.366,2.313,-0.428,-139.01,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.863,eb:33:2e:f9:57:b5, 2085-97-15 00:84:00:2040,0.008,0.041,0.996,0.122,0.305,-0.305,2.313,-0.428,-139.01,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.863,eb:33:2e:f9:57:b5, 2085-97-16 00:81:00:2041,0.008,0.04,0.997,0.122,0.366,-0.183,2.313,-0.428,-139.01,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.863,eb:33:2e:f9:57:b5, 2085-97-12 00:83:00:2035,0.005,0.041,0.995,0,0.366,-0.122,2.313,-0.428,-139.01,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.895,eb:33:2e:f9:57:b5, 2085-97-11 00:80:00:2036,0.006,0.04,0.993,0,0.244,-0.122,2.313,-0.428,-139.005,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.895,eb:33:2e:f9:57:b5, 2085-97-10 00:82:00:2035,0.005,0.04,0.994,0.061,0.122,-0.122,2.313,-0.428,-139.005,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.895,eb:33:2e:f9:57:b5, 2085-97-11 00:81:00:2035,0.004,0.041,0.994,0,0,0,2.313,-0.428,-139.005,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.895,eb:33:2e:f9:57:b5, 2085-97-13 00:83:00:2040,0.007,0.04,0.993,0,-0.061,0.305,2.313,-0.428,-139.005,-48.6,-54.1,-18.04,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.923,eb:33:2e:f9:57:b5, 2085-97-12 00:82:00:2039,0.007,0.04,0.995,-0.122,-0.122,0.427,2.313,-0.428,-139.005,-47.4,-55.8,-16.68,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.923,eb:33:2e:f9:57:b5, 2085-97-16 00:80:00:2043,0.008,0.04,0.997,-0.183,-0.122,0.427,2.313,-0.428,-139.005,-47.4,-55.8,-16.68,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.923,eb:33:2e:f9:57:b5, 2085-97-13 00:83:00:2038,0.008,0.04,0.997,-0.122,-0.183,0.61,2.313,-0.428,-138.999,-47.4,-55.8,-16.68,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.923,eb:33:2e:f9:57:b5, 2085-97-06 00:83:00:2027,0.006,0.042,0.995,-0.244,-0.183,0.61,2.313,-0.428,-138.999,-47.4,-55.8,-16.68,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.984,eb:33:2e:f9:57:b5, 2085-97-14 00:83:00:2035,0.007,0.042,0.992,-0.305,-0.549,0.732,2.313,-0.428,-138.999,-47.4,-55.8,-16.68,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.984,eb:33:2e:f9:57:b5, 2085-97-16 00:81:00:2037,0.006,0.039,0.994,-0.183,-0.549,0.488,2.313,-0.428,-138.999,-47.4,-55.8,-16.68,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.984,eb:33:2e:f9:57:b5, 2085-97-20 00:82:00:2046,0.009,0.039,0.997,-0.061,-0.549,0.366,2.313,-0.428,-138.994,-47.4,-55.8,-16.68,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:12.984,eb:33:2e:f9:57:b5, 2085-97-18 00:82:00:2044,0.006,0.04,0.999,-0.061,-0.427,0.305,2.313,-0.423,-138.994,-47.4,-55.8,-16.68,30.2,0.34995,0.0036,-0.02023,-0.93649
 13:47:13.014,eb:33:2e:f9:57:b5, 2085-97-08 00:84:00:2034,0.006,0.04,0.996,-0.061,-0.366,0.244,2.313,-0.423,-138.994,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.014,eb:33:2e:f9:57:b5, 2085-97-12 00:82:00:2040,0.009,0.041,0.995,-0.061,-0.488,0.244,2.313,-0.423,-138.994,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.014,eb:33:2e:f9:57:b5, 2085-97-18 00:82:00:2043,0.01,0.04,0.997,-0.061,-0.427,0.183,2.313,-0.423,-138.994,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.014,eb:33:2e:f9:57:b5, 2085-97-16 00:81:00:2040,0.009,0.04,0.998,-0.061,-0.244,0.122,2.313,-0.423,-138.994,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.044,eb:33:2e:f9:57:b5, 2085-97-22 00:81:00:2044,0.01,0.039,0.997,0,-0.244,0.122,2.313,-0.423,-138.988,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.044,eb:33:2e:f9:57:b5, 2085-97-19 00:83:00:2041,0.008,0.04,0.998,0,-0.122,0.122,2.313,-0.428,-138.988,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.044,eb:33:2e:f9:57:b5, 2085-97-16 00:82:00:2039,0.008,0.041,0.996,-0.061,0,0.061,2.313,-0.428,-138.988,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.044,eb:33:2e:f9:57:b5, 2085-97-19 00:84:00:2041,0.008,0.041,0.996,0,0,0,2.313,-0.428,-138.988,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.105,eb:33:2e:f9:57:b5, 2085-97-15 00:80:00:2037,0.007,0.041,0.996,-0.061,0.122,0,2.313,-0.428,-138.988,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.105,eb:33:2e:f9:57:b5, 2085-97-14 00:80:00:2037,0.006,0.039,0.994,0,0,-0.061,2.313,-0.428,-138.988,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.105,eb:33:2e:f9:57:b5, 2085-97-14 00:82:00:2036,0.006,0.039,0.994,0,0,0,2.313,-0.428,-138.983,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.105,eb:33:2e:f9:57:b5, 2085-97-18 00:80:00:2043,0.009,0.039,0.996,0.061,-0.122,-0.061,2.313,-0.428,-138.983,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.133,eb:33:2e:f9:57:b5, 2085-97-20 00:82:00:2043,0.008,0.04,0.998,0.122,0,-0.061,2.313,-0.428,-138.983,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.133,eb:33:2e:f9:57:b5, 2085-97-17 00:84:00:2041,0.007,0.039,0.998,0.061,0,-0.061,2.313,-0.428,-138.983,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.133,eb:33:2e:f9:57:b5, 2085-97-22 00:85:00:2045,0.009,0.041,0.996,0.122,0.061,-0.122,2.313,-0.428,-138.983,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.133,eb:33:2e:f9:57:b5, 2085-97-20 00:84:00:2042,0.008,0.041,0.997,0.122,0.305,-0.183,2.313,-0.428,-138.983,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.164,eb:33:2e:f9:57:b5, 2085-97-12 00:83:00:2038,0.008,0.04,0.995,0.122,0.427,-0.183,2.313,-0.428,-138.977,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.164,eb:33:2e:f9:57:b5, 2085-97-11 00:81:00:2035,0.006,0.041,0.996,0,0.488,-0.183,2.313,-0.428,-138.977,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.164,eb:33:2e:f9:57:b5, 2085-97-09 00:82:00:2031,0.005,0.041,0.994,0,0.427,-0.183,2.313,-0.428,-138.977,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.164,eb:33:2e:f9:57:b5, 2085-97-11 00:80:00:2035,0.008,0.04,0.992,0,0.366,-0.305,2.313,-0.428,-138.977,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.255,eb:33:2e:f9:57:b5, 2085-97-17 00:80:00:2042,0.009,0.039,0.996,0,0.305,-0.183,2.313,-0.428,-138.977,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.255,eb:33:2e:f9:57:b5, 2085-97-21 00:80:00:2050,0.01,0.038,1,0.122,0.366,-0.061,2.313,-0.428,-138.977,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.255,eb:33:2e:f9:57:b5, 2085-97-19 00:81:00:2046,0.009,0.04,1,0.183,0.549,0,2.313,-0.428,-138.972,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.255,eb:33:2e:f9:57:b5, 2085-97-13 00:82:00:2038,0.004,0.039,0.998,0.183,0.671,0.061,2.313,-0.428,-138.972,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.255,eb:33:2e:f9:57:b5, 2085-97-11 00:83:00:2037,0.006,0.04,0.994,0.061,0.549,0.244,2.313,-0.428,-138.972,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.255,eb:33:2e:f9:57:b5, 2085-97-15 00:81:00:2039,0.006,0.04,0.995,0.122,0.549,0.244,2.313,-0.428,-138.972,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.255,eb:33:2e:f9:57:b5, 2085-97-14 00:84:00:2038,0.006,0.041,0.995,0.061,0.488,0.244,2.313,-0.428,-138.972,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.255,eb:33:2e:f9:57:b5, 2085-97-13 00:83:00:2038,0.006,0.041,0.995,0.061,0.488,0.183,2.313,-0.428,-138.972,-47.4,-55.8,-16.68,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.283,eb:33:2e:f9:57:b5, 2085-97-12 00:83:00:2038,0.007,0.041,0.996,0,0.366,0.183,2.313,-0.428,-138.966,-50.1,-56.8,-21.153,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.283,eb:33:2e:f9:57:b5, 2085-97-13 00:84:00:2038,0.005,0.04,0.996,0,0.244,0.183,2.313,-0.428,-138.966,-50.1,-56.8,-21.153,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.283,eb:33:2e:f9:57:b5, 2085-97-10 00:84:00:2034,0.004,0.042,0.994,0,0.305,0.122,2.313,-0.428,-138.966,-50.1,-56.8,-21.153,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.283,eb:33:2e:f9:57:b5, 2085-97-14 00:82:00:2037,0.007,0.04,0.994,0,0.122,0.122,2.313,-0.428,-138.966,-50.1,-56.8,-21.153,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.345,eb:33:2e:f9:57:b5, 2085-97-12 00:86:00:2035,0.006,0.041,0.995,0,0.122,0,2.313,-0.428,-138.966,-50.1,-56.8,-21.153,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.345,eb:33:2e:f9:57:b5, 2085-113-81 00:220:44:116,0.003,0.041,0.995,0,0.061,0,2.313,-0.428,-138.966,-50.1,-56.8,-21.153,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.345,eb:33:2e:f9:57:b5, 2085-97-11 00:83:00:2039,0.005,0.04,0.993,0,0,0,2.313,-0.428,-138.961,-50.1,-56.8,-21.153,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.345,eb:33:2e:f9:57:b5, 2085-97-11 00:81:00:2042,0.009,0.04,0.996,-0.061,-0.061,-0.122,2.313,-0.428,-138.961,-50.1,-56.8,-21.153,30.2,0.35019,0.00357,-0.02023,-0.9364
 13:47:13.373,eb:33:2e:f9:57:b5, 2085-97-12 00:80:00:2042,0.004,0.041,0.999,-0.061,0,0,2.313,-0.428,-138.961,-50.1,-56.8,-21.153,30.2,0.35046,0.00354,-0.02023,-0.93631
 13:47:13.373,eb:33:2e:f9:57:b5, 2085-97-14 00:79:00:2043,0.005,0.039,0.996,-0.061,-0.061,0.122,2.313,-0.428,-138.961,-50.1,-56.8,-21.153,30.2,0.35046,0.00354,-0.02023,-0.93631
 13:47:13.373,eb:33:2e:f9:57:b5, 2085-97-13 00:82:00:2041,0.006,0.039,0.996,0,-0.122,0.183,2.313,-0.428,-138.955,-50.1,-56.8,-21.153,30.2,0.35046,0.00354,-0.02023,-0.93631
 13:47:13.373,eb:33:2e:f9:57:b5, 2085-97-12 00:82:00:2037,0.007,0.04,0.996,0,-0.183,0.183,2.313,-0.428,-138.955,-50.1,-56.8,-21.153,30.2,0.35046,0.00354,-0.02023,-0.93631
